category,cleaned_review_body
Positive,strong rate fixed saving however slightly behind easy access rate nice smooth app simple use recommended family friend
Negative,app bespoke faceid feature not referring iphone faceid hardware us front camera check match photo uploaded creating bespoke faceid feature not disabled allows someone login simply putting publicly available photograph find front camera able replicate reported ico breach reasonable security gdpr bad practice massive security flaw not acceptable modern standard especially banking app made worse fact reported atom said fine despite fact walked able bypass login screen without ever needing present device feature not exist leave faceid expert bank not know
Positive,easy open fantastic saving rate already recommended friend
Positive,money invested atom yr satisfied service offer already recommended friend family sure stay year come
Positive,hesitant using app banking well physical branch however communication good far gone smoothly not needed ring anyone yet hopeful would well
Positive,easy app use easy open accountsclear interest rate projection good communication problem logging phoned excellent
Positive,easy open account app easy good saving account good interest rate tell exactly much interest get amount money save long would definitely recommend atom bank
Positive,friend recommended atom bank said easy deal wanted online bank found easy open account interest rate competitive security good plenty communication bank not problem transferring money account sit back watch money grow
Positive,easy fast set new account rate also
Positive,could not believe great deal atom bank website regard interest rate decided stop procrastinating move saving around make work app easy use payment account instantaneous atom good year always competitive friendly helpful need ring
Positive,impressed atom last year app navigate overload email pushy product messaging good security feature competitive rate
Positive,first used atom bank january used numerous bond since minimize effect inflation rate always competitive simple use two daughter also atom customer
Positive,competitive isa easy set chosen recommended martin lewis trustworthy good communication
Positive,nothing fault excellent service easy use app saving safe earning good interest
Positive,brilliant happy investment done online hassle
Positive,downloading app opening account took min simple process trying find high street bank open day
Positive,quite daunted prior opening account found simple follow atom bank instruction step way assured security system place well done atom bank
Positive,easy open account nice interest rate fix term instant saving great bank great product thanks lot
Positive,found whole experience easy app show much earn different amount deposit
Positive,super smooth app year issue
Positive,easy use app several year
Positive,opened saving account limited experience using bank however found opening account online really easy also transferring fund fro current account saving account atom straight forward
Positive,setting saving account never going top list memorable experience impressed simplicity lack complexity setting account step step pretty much idiot proof evidently
Positive,really simple set app easy use must admit quite worried transferring much money virtual bank kept informed throughout process also like tailor interest payment suit need far happy
Positive,great interest instant saver fixed account really outstanding commitment sustainability wish bank
Positive,really easy set account quick informative competitive interest rate love atom feel safe second account
Positive,used atom period time competitive rate always good customer service
Positive,atom around two year great saving rate easy use app great customer service needed
Positive,app easy use account option clear easy access set
Negative,put oney fixed saver last year rate matured today given noone explain money transferred day opened account excuse not using bank would suggest others think twice
Positive,easy use transparent
Positive,easy open account online even easier choose new fixed rate
Positive,easy use not techy person helpful person telephone needed assistance still little nervous account phone case phone get lost stolen sure would help find againmany thanks atom
Positive,ease contact app phone email app particular high quality state art fast informative customer service knowledgeable efficient look forward good experience
Positive,super easy set account regular notification saving account found best rate online bank
Positive,found whole process application easy smooth pleasant account opened short time sent reminder top money within day account opened
Positive,atom process simpler quicker atom app simple easy app worked well registered new balance offered one best fixed deal interest rate
Positive,simple open account realise taking selfie press button bottom screen rate competative
Positive,app really good everything really simple set impressed moved saving atom well known bank online banking experience terrible top mark atom bank
Positive,good rate easy navigate new account via app
Positive,atom keep date information regarding account friendly manner
Positive,easy navigate online happy interest offered excellent customer service
Positive,everything really simple navigate
Positive,easy web appatom need offer isa account
Positive,easy quick set account literally minute santander took two day
Positive,process straightforward app easy navigate great interest rate
Positive,easy app use whole process easy shame not isas though
Positive,good interest rate simple set stand somewhere bright face easy use app logged helpline call answered quickly needed ask question helpful agent call centre good far
Positive,saw review money expert website got app opened account used week transfer money nice easy hassle free great interest rate
Positive,excellent easy use app great deal available promise great support offer reassurance
Positive,simple easy open account excellent access monitor account good rate interest
Neutral,one account linked funding account somewhat inconvenient
Positive,great app competitive saving interest rate happy recommend
Positive,great bank understand app competitive rate
Positive,simple use banking app straight forward information given
Positive,process quite easy appropriate security also easy set interest rate competitive
Positive,overall simple process great saving rate
Positive,found easy openhad help staff good
Positive,little sceptical setting saving platform using phone easy impressed security
Positive,great rate combined easy use app easy transfer money account overall good experience
Positive,app one best around saver change interest preference wide range option
Positive,easy use app great interest saving rate regular update provided regarding interest payment change etc
Positive,really simple set saving account via app user friendly interface
Positive,easy open account onlinegood rate interestgiven week add total amount invested
Positive,easy open atom fixed year saver interest excellent paid monthly
Positive,easy open great rate site want life story
Positive,everything dealt quick efficiently
Positive,slick tech security not mention good interest rate easy enrol
Positive,excellent rate bond easy give instruction renewal end previous bond
Positive,find service atom quick responsive information accessible
Positive,opened account easily everything work exactly
Positive,easy open account easy step step process not take minute
Positive,system clear straightforward instruction easy follow
Positive,absolutely brilliant easy website follow would highly recommend without hesitation
Positive,quick easy set line easy keep investment second year fixed saving
Positive,love atom issue used long time never issue
Positive,app easy use good saving interest ratesvery pleased service
Positive,easy use internet service customer service communication prior maturity fixed term account
Positive,atom year not fault way
Positive,excellent easy set
Positive,easy use good security great interest
Positive,good interest rate good communication easy access via app would recommend
Positive,easy get app help fro atm pick account put money
Positive,easy use attractive exchange rate buying foreign currency
Positive,good rate offer easy open frb account found staff helpful phone query
Positive,easy nonsense setup secure login great interest rate
Positive,painless stress free process decent rate interest
Positive,really easy use app simple application process
Positive,great customer service slick app
Positive,easy open account set good interest rate
Positive,great rate simple use app account money transfer instantly
Positive,simple straight forward process opening account
Positive,easy setup create account good deposit pay easy hope trust
Positive,easy set account easy deposit interest rate good say tin happy
Positive,good range fairly priced product
Positive,easy set saving account simple access via app hassle
Positive,straight forward app quick response smooth transfer
Positive,simple use clear messaging feel secure
Positive,atom bank easy deal give good saving rate app keep date
Positive,best rate instant transfer good round service
Positive,used app clear also good eye
Positive,downloaded app straight forward opened account simple
Positive,easy open new account good interest rate
Positive,easy set app good communication
Positive,really easy open saving account offering competitive interest rate
Positive,great app easy use great interest rate atom since problem
Positive,fast easy clear safe way opening bank account thanks
Positive,able open account without problem easy
Positive,easy open account love keep track money
Positive,user friendly app good rate
Positive,simple process open add interest rate
Positive,great bank efficient professional used many time highly recommended
Positive,easy open account excellent communication competitive interest rate
Positive,good bank use easy process access work
Positive,job thank
Positive,easy use good interest rate say maybe best one
Positive,good service great open account
Positive,best interest rate could app good
Positive,took min open easy fuss love app fab rate
Positive,easy set even ludite like
Positive,easy open account
Positive,atom app excellent competitive saving rate
Positive,good review good experience really straightforward information great rate
Positive,quick easy use first class
Positive,easy use helpful
Positive,easy simple rate interest product feature matched wanted
Positive,simple open account great communication atim app easy use satisfied
Positive,far good easy set problem original bank reluctant see transfer money endure long phone call make aware not scam
Positive,best year fixed rate saving account took min setup account app
Positive,easy app informative good interest
Positive,simple way getting great interest money earning diddly squat bank account simple
Positive,atom make easy new customer join banking service interest rate good compared bank made welcome
Positive,easy set great interest rate
Positive,quick straightforward register set account
Positive,really easy set instruction clear helpful excellent interest rate
Positive,comfortable duration rate available david
Positive,far app easy navigate good communication
Positive,excellent company great customer service straight foward quick easy
Positive,quick easy open account
Positive,straightforward set reassuring number security feature voice recognition etc
Positive,pleased atom customer service excellent especially charlotte ran every step getting new password would recommend
Positive,account information detailed straightforward simple
Positive,cautious first opening fixed rate bond atom checked moneysaving expert site recommended best rate time easy highly recommend excellent app view saving easily
Positive,excellent bank use app simple communication good
Positive,straight forward open account offering competitive rate
Positive,messed company atom simple account set securely inside minute happy
Positive,really easy open account app easy use
Positive,read review first best rate process get set
Positive,easy navigate issue transfer however think high street bank issue
Positive,competitive interest rate easy access account easy open fund appear immediately transferred
Positive,easy set saving account atom input bank detail would like atom account linked atom app set long term saving account atom year time opened instant saver put fund rate nearly triple halifax instant saver aug although lower taking fixed term wanted easy access rate always competitive
Positive,atom really simple secure app make easy set account rate also good moment
Positive,great customer service quick precise polite feedback
Positive,easy set secure simple use app far best online banking experience interest rate competitive win win
Positive,easy set account deposit money interest rate competitive well
Positive,easy access app good rate interest investment
Positive,atom easy way save money opening account transferring money would recommend anyone
Positive,looking saving acc good interest rate read atom daily mail far pleased result
Positive,opened account due money saving expert advice simple open straight forward use
Positive,simple easy setup saving clear give good information
Positive,great company time opened account easy app work problem communication great great interest rate
Positive,website really easy use setting new account smooth sailing problem also great interest rate saving
Positive,easy open account also needed check something customer service via phone hardly wait time highly recommended
Positive,easy use bank like atom
Positive,opened four different account atom time easy process interest rate always top rate
Positive,opening account atom easy app user friendly everything explained clearly process stress free one best online fixed rate saving product open account not hesitate use recommend friend family
Positive,saving atom year recommended martin lewis like getting decent rate
Positive,happy ease opening new account opened matured made nice interest check account
Positive,application new saving account quick straightforward
Positive,saving website found atom much easier use find way
Positive,easy open account atom fantastic rate interest delighted
Positive,first used atom several year ago using facial recognition safety feature however decided not recognise long chat helpline not use atom year decided gove another try recently recognised striaght away worked easily since good rate interest
Positive,setting account pretty easy however voice recognition setup failed several time not held mobile closer work even not work first time transfer money worked well setup current bank account
Positive,easy slick done
Positive,year saving atom bank web site straight forward use interest rate excellent multiple option long choose lock saving example interest paid using simple online calculator big bonus decided take minute set annoying call highly recommended
Positive,easy open app easy use great experience far
Positive,great rate bond easy open app easy understand negotiate
Positive,easy open saving account atom line
Positive,easy set easy transfer money
Positive,closing fixed term saver putting cash new account easy think possible financial transaction plus briefest bit research looking money saving expert soon discovered best rate could get two year bonus seamless painless brilliant rate else could ask
Positive,simple use everything finger tip
Positive,really easy open account
Positive,not atom offer best interest rate one year fixed rate account simple open transferring fund bank able verify new account genuine
Positive,clear straightforward account opening messing get antiquated big four bank competitive interest rate
Positive,great service happy dealing bank put customer front novelty experience day age looking banking
Positive,excellent value easy open account
Positive,fast easy process opening account
Positive,great bank atom gave good rate cash month account reached conclusion looked atom better rate happy
Positive,simple easy download friendly language
Positive,highly recommended easy set easy monitor mobile device
Positive,easy create account robust security measure
Positive,easy second year atom already got sister sign atom keep well informed think good bank
Positive,good interest rate quick easy open account
Positive,easy use offer one best rate available
Positive,easy use quick
Positive,held atom fixed term saving account opened another pay excellent rate interest easy open atom app superb highly recommended
Positive,never problem atom opening account smooth painless opened second fixed rate account set minute even deposit faster payment received minute reason complain excellent service keep
Positive,efficient fast service easy use transaction completed online helpful tip not required contact anyone telephone
Positive,picked atom generous interest rate fixed rate bond app easy use set new product support information good keeping informed stage firstly not forget thing like inerest statement dreaded tax return also right track great app product
Positive,simple clear instruction app
Positive,atom account really easy open straight forward step follow
Neutral,interest rate good display rate goodfinding product app could easier not notifying account mature putting low rate account not good
Positive,quick easy use plus speak actual human really polite already recommended friend family
Negative,bank england raise base rate atom reduces fixed rate response
Negative,voice recognition step need taken discriminatory deaf people without clear speech
Positive,simple straightforward process open saving account deposit fund
Positive,easy set instruction clearly explained one best interest rate going year fixed saver account see happens term complete
Positive,save atom bank not high street bank employed year best rate found customer service incredible friendly staff get thing right first time year encouraged lot friend family use
Negative,initially found experience good placed saving account went end fixed saver decided pick another one deadline said option certain time day change mind realised could get better rate someone else went back app clicked withdraw bank account option got monday realised fact went ahead opened new fixed saver anyway despite choosing option phoned customer service spoke someone whose manager declined give saving back despite literally phoning explaining situation hour deadline gone wrong asked advisor open complaint hour got generic final response stating term condition completely ignoring fact something went wrong system explained not asking money back suddenly changed mind money stuck two year fixed saver not want first not give money customer serving terrible act like robot computer say answer without actually taking consideration situation also tell advisor not even listen phone final response made mention actually happened gave term condition jargon
Positive,excellent app fast payment good rate
Positive,several account atom fixed saving instant account good rate interest easy use set gripe stopping review fixed rate account matures option move already open fixed rate account option transfer another new account external connected account
Positive,great service thank
Positive,opened new fixed rate saving account atom process straightforward interest rate great
Positive,easy set account manage app interest rate competitive fixed account lump sum starting unlike require thousand range time month year
Positive,frustrated easily avoidable problem presented complicated procedure trying invest money past experience company keep thing simple possible whilst still offering good return investment opinion atom well worth visit
Positive,point nonsense good return
Positive,saving account atom easy use set rate interest competitive withdrawal fund instantaneos unlike bank supposedly instant access account
Positive,easy download app instruction clear throughout process
Positive,easy set new saving account already previous one going clear information package expect upon maturity fuss frill
Positive,setting account intuitive done app app fast process worked faultlessly transferring money instant access account normal bank current account indeed instant direction needed use online chat facility made typo opening worked well response fairly quickly also follow phone call answered within minute helpline person based friendly intelligent
Positive,fantastic app easy open account easy transfer money also secure
Positive,easy setup saving account via app never seen easy way thankyou allowing create account advice given phone
Positive,really easy open account app work rate good paid promised
Positive,easy open used atom bank year ago open another account problem opened another fixed rate finished
Positive,easy use website app money investment transferred efficiently good rate interest one year bond far good
Positive,easy set account great user experience app
Positive,easy get started hearing interview atom radio gave confidence press coverage
Positive,great interest rate easy operate account
Positive,whole end end process opening new saving account seamless straightforward except fact could not transfer money new account existing atom saving account real hassle transfer money another bank daily money transfer limit
Positive,quick easy open account far good
Positive,simple open follow internet plus top year rate
Positive,easy open accountplus great rate not like
Positive,opened one year saving account atom bank offered best rate interest around time type account amazingly easy open took time banking app first rate would definitely recommend using bank
Positive,company always support feel secure
Positive,bank year never problem sold business left saving earning absolutely pittance reassurance bank sturdy stable corporation realising loyal loyal decided nearly double interest rate atom bank could better rate atom fixing term instant access fixed term hoping rate better next month fix monies opening account breeze like whet call end end bank account new atom account withdraw back original account nowhere else
Positive,good interest rate offered downloaded app easy navigate around great investment quick inform activity account moved saving high street bank would highly recommend
Positive,opening fixed saver account adding money extremely easy impressed interface communication within app
Positive,easy open account online downside mix previous matured fund
Negative,issued approval mortgage atom bank property month neared completion date solicitor checked via mortgage portal whether everything going alright one week ago received Positive response stating needed carry due diligence professional solicitor ensure property met bank lending also contacted bank day one week ago via chat facility app asking mortgage process concluded received Positive answer stating application fine remaining step solicitor provide contract title new property possession transcript conversation proof given criterion met solicitor proceeded request fund bank today point solicitor told bank would not proceed application also refused give reasoning nor tell solicitor not communicated broker got touch bank abruptly told bank would not proceed application reason nor justification late timing three child need start school september yet facing situation not property live absolutely disgusting act like yet claim professionally run not favourably resolved begin complaint process financial ombudsman providing written communication received bank help claim
Positive,great app easy set use
Positive,easy use app invest saving
Positive,impressed atom easy setup fast transaction immediate notification fund easy use app
Positive,recently opened year fixed rate saver atom bank apply setup manage account via app process overall management account good app seems little fickle particularly setting facial recognition subsequently using method access account finding easier use passcode access option however interest rate good lodging fund account quick easy
Positive,good app costumer service good
Positive,great experience everything explained hand process went swimmingly without thanks atom bank sally
Positive,simple open account helpful call centre
Positive,chose atom recommendation time review remain best two year bond paying monthly market relatively easy set account make sure got obvious stuff hand set slick money show account immediately far good
Positive,easy manage excellent security see exactly much interest receive high interest rate
Positive,attracted saving rate not many decent rate stood simple thd app easy use comprehensive
Positive,happy service atom east use good rate interest
Positive,easy use app made everything super simple easy understand great interest rate saving make money work
Positive,everything good app work fine transferring money worked complaint
Positive,great user friendly app really easy application process great rate top
Positive,easy open good interest paid
Positive,easy use app new fixed rate account set quickly efficiently
Positive,easy use app product straightforward plus staff friendly helpful contact combined competitive rate make atom good place
Positive,great app easy set account
Positive,atom straight forward simple use
Positive,bit concerned moving money online bank getting awful service bank used year decided anyhow need not concerned customer service helpful pleased
Positive,moment opening atom year fixed saver everything really easy query rang sunday answered straight away quickly massive hold time phone would not hesitate reccomend atom anyone infact telling friend brillaint straight forward experience
Positive,quick easy contact put mind ease investing
Positive,really easy open saving account atom easy banking app competitive rate would recommend
Positive,straightforward simple follow instruction helped open account deposit fund
Positive,really simple process open account messing around form etcapp easy use
Positive,simple process kept informed fixed saver maturing available option transfer fund done fuss
Positive,simple easy use loved
Positive,easy open account deposit fund everything clear easy navigate
Positive,easy set transfer fund great interest rate
Positive,easy straightforward good security process well impressed
Positive,easy open account move money backwards forward app easy use documentation clear straightforward fscs protected regulated fca competitive interest rate historically changed rate quickly response boe rate change compared main high street bank
Positive,fairly easy trust atom money difficult know transfer money without opening new account phoned person spoke helpful
Positive,good rate bond found quite easy step step directed set account
Positive,quick easy open account wanted verify transferred money phoned got straight english speaking person really helpful
Positive,easy open line not many security question answer information required rate interest fixed saving already persuaded friend open saver atom
Positive,mechanic opening account could not simpler user friendly person spoke phone prior opening account helpful knowledgeable keen assist every way able answer enquiry interest paid monthly
Positive,really easy fast open fixed deposit account excellent rate interest
Positive,speedy set account fund needed help live chat great also got telephone help quickly efficiently app easy use glad atom account
Positive,straight forward process open account nothing complicated confusing
Positive,easy app usegood interest rate
Positive,opened new year fixed rate saver atom bank recently current market leading interest rate process straightforward app well set easy use sign procedure give added confidence accessing information within app along fact deposit covered government protection scheme interest rate offered high street bank change brainer
Positive,easy process start finish great comma staff
Positive,great interest rate super simple app not sure could better
Positive,changed expired month fixed saver new month saver sooooo easy
Positive,good opening deposit account atom
Positive,account easy set app user friendly
Positive,simple straightforward investing atom number year satisfied
Positive,opened fixed rate saving account really easy impressive
Negative,not open account without giving biometric data scan face voice recording however sign process not reveal already filled personal detail addition wasting time also given atom bank personal detail nothing warn big brother app collect personal detail caution everyone atom bank big brother company due lack transparency not make apparent already personal detail
Positive,customer service excellent app easy use understand service
Positive,first time opening sort financial product exclusively guided step way felt easy set account jargon used
Positive,simple open app easy read use
Positive,atom bank recommended family saving account atom bank satisfied online easy service rate interest offered present time
Positive,opening managing account straightforward communication atom timely clear rate saving competitive
Positive,set new account today ipad excellent security process done remarkably short time added fund another bank notified immediately major bank could learn lot
Positive,nice easy use app especially fingerprint login supported fast payment transfer input output important thing course interest rate
Positive,great app easy use set account clear instruction speedy approval transaction
Positive,recommended saving account easy use app clear concise instruction issue getting started verified
Positive,early day perhaps would best posted end one year investment period date impressed registration straightforward efficient
Positive,easy set happy tie money one year interest pleased account
Positive,everything clearly defined easy follow
Positive,easy open new account always helpful need talk phone
Positive,app easy use transferring money personal atom simple overall great experience
Positive,really easy use app consistently best interest rate market
Positive,really good easy start user friendly app
Positive,easy set saving account via app
Positive,good rate easy open good online app
Positive,found google search looked great review downloaded app offered good return bit sceptical made search turned good slight problem facial recognition bit went easy make nice change find company like
Positive,easy procedure best rate
Positive,great rate interest could not easier set new account take minute
Positive,great deal easy open account investing future atom
Positive,easily understoodeasy transfer moneyapp really easy good
Negative,atom bank sent getting touch let know atom app longer work version io iphone operating system currently using not able access app unless upgrade operating system newer replied iphone not upgraded mean longer access app not intend spend thousand boosting apple already obscene profit buying new phone lot not arsed write wrote back said duty ensure phone compatible whatever software chose enable app not laptop option phone app far concerned insincere untrustworthy make judgment get money
Positive,straightforward simple set
Positive,easy open account easy instruction provided app reminder sent move money account opening window need see matures check progress app competitive interest rate
Positive,easy use app good rate
Positive,account easy set query answered immediately excellent customer service
Positive,atom made really easy choose type fixed saver wanted open clear see would earn based amount put account interest rate
Positive,easy set account level security reassuring
Positive,straightforward easy use app made investing windfall quick hassle
Positive,app easy use really clearly laid option choose gave notification transfer money happy service
Positive,process opening account straightforward easy
Positive,researching various bank fixed bond saving rate decided choose atom bank year rate monthly int return obviously open account online done via loadable app process easy app user friendly basic check sort code account number provided came back fine happy information provided bank app spoke help desk matter needed information call answered promptly clearly would recommend bank
Positive,account setup transfer straightforward rate also good
Positive,really easy set lot option right product suit need would recommend
Positive,easy understand set good interest rate
Positive,easy use great interest rate
Positive,straightforward open new account via app good interest rate fixed saver
Positive,seemed fairly easy download app deposit money plus competitive interest rate
Neutral,account two year reluctantly moved money much higher interest rate
Negative,not able access account two day despite trying countless time get message saying app bit slow right could connection patchy many people trying log excuse raised rate getting lot application never anticipated circumstance like preventing customer accessing not get amazon saying not access many people using not provide app allows customer acces money not come market higher interest rate
Positive,excellent online banking service app quick easy use
Positive,transaction quickly sorted good interest rate slightly unnerving receive remjbders time invest already put fund check fund actually still
Positive,easy set new account app great
Positive,nice easy set instant saver really enjoyed process rare thing say could not simpler straightforward guidance criticism future feature update point view would amazing person could open one instant save perhaps two max ability add another person account effectively joint saving account
Positive,barrier thing wasted word app enough really well delight
Positive,company keep right date contact excellent
Positive,superb wife opened fixed saving selected annual rather monthly interest accident one phone call helpline problem fixed without effort
Positive,easy open set account online instant would recommend
Positive,banking app easy use opening account simple information clear chatty easily understood
Positive,easy set saving account fuss great site done quickly efficiently
Positive,opened many saving account atom year always easy straight forward together competitive saving rate recommended atom family friend
Positive,really easy online joining system running within clear saving scheme without standard guaranteed saving interest rate especially compared high street bank building society
Positive,opening account could not easier information needed clear concise fixed rate got would highly recommend atom
Positive,great app great rate great communication easy love easy
Positive,mobile app best ever used set standard application saving rate competitive
Positive,app easy use everything work easily efficiently depositing fund notifies received not log back taking money quick straightforward wish bank easy deal atom
Positive,brilliant product available best rate market
Positive,set account atom online quick simple process
Positive,support open helpful app work great face voice set min get reminder till time fixed rate closing window helpful
Positive,opened fixed saver account seamless process top saving rate live chat agent answered query quickly extremely friendly far not hesistate
Positive,easy set great security feature great app easy understand use
Positive,quick easy set account interest rate fuss transferring fund based not issue either would recommend
Positive,account opened line septuagenarian pensioner not great technology really easy set allowed get better rate interest bank offering really happy term condition set clearly anyone able
Positive,simple beat high street interest rate
Positive,easy get account set running balance transfer immediately visible using app forecast expected interest payment date amount also visible app
Positive,quick easy open saving account refreshing change
Positive,quick easy set
Positive,easy set account online excellent rate
Positive,easy set home online good interest rate secure login option
Positive,easy efficient banking good communication support guidance would highly recommend
Positive,easy set manage offered excellent rate fixed rate account
Positive,since registering impressed simplicity straightforwardness customer system long remember accessed iphone not query answered quickly helpfully account data security protection mark interest rate remain top chart certainly worthy star awarded
