Name,Rating,Review Title,Review Text
Maria Sharpe,5,"Reliable, easy to navigate",Competitive ISA. Very easy to set up. Chosen as recommended by Martin Lewis. Trustworthy. Good communication.
houriye dervish,5,There’s nothing to fault,There’s nothing to fault - excellent service. Easy to use app. Savings are safe and earning good interest.
Barbara O'Hare,5,Brilliant I’m so happy with my…,Brilliant I’m so happy with my investment all done online no hassle
Matthew Adams,5,From downloading the app to opening the…,"From downloading the app to opening the account took no more than about 5 mins, a very simple process over trying to find a high street bank that’s open these days"
Frederick Mcnabb,5,Simplicity,"I was quite daunted prior to opening my account but found it so simple to follow atom banks instructions each step of the way and assured with security systems in place,well done atom bank ."
Joyce,5,Easy to open an account,"Easy to open an account, nice interest rate for both fix term and instant savings. Great bank with great products. Thanks a lot."
Andrew Mccall,5,EASY BANKING found the whole experience easy the…,I found the whole experience easy the app shows how much you can earn from the different amounts that you deposit
Paul Cowburn,5,Super Smooth App been with them 2 years…,Super Smooth App been with them 2 years now no issues.
chris,5,"Very easy to use app,I’ve been with…","Very easy to use app,I’ve been with them for several years."
Henry Ridley,5,I have just opened a savings account so…,"I have just opened a savings account so have limited experience of using the bank. However, I found opening an account online was really easy and also transferring funds fro my current account to the savings account on Atom was very straight forward."
Mark Robson,5,The app does it all,"Ok, so setting up a savings account is never going to be at the top of the list of memorable experiences, but I was impressed with the simplicity and lack of any complexity in setting up the account. Step by step, pretty much idiot proof - evidently!"
Freda Lawton,5,Really simple to set up,Really simple to set up. App easy to use. Must admit I was quite worried about transferring so much money to a virtual bank but I was kept informed throughout the process. Also like that you can tailor the interest payments to suit your own needs. So far I'm very happy with it.
Guest,5,One of the few banks that cares about sustainability.,"Great interest on instant saver and fixed accounts, but what's really outstanding is their commitment to sustainability. I wish more banks did this."
JANE RALLEY,5,Really easy to set up the account,"Really easy to set up the account, so quick and informative with a competitive interest rate! I love Atom as it feels very safe, this is the second account I have with them."
Ronald Scott,5,Have used Atom over a period of time…,Have used Atom over a period of time because of their very competitive rates. They have always been very good at customer service.
PETER,5,"Great bank, great rates….","Been with Atom for around two years, great savings rates and easy to use app. Great customer service when needed."
Kelly,5,Great app and savings options,App is easy to use. The account options are clear and it's easy to access once set up.
Lianne,1,Rip off bank,"Put my oney into a fixed saver last year at a 3.95% rate. It has matured today, and I have only been given 2.9%, and noone can explain why! All money transferred over on the same day when I opened the account, so no excuse! I will not be using this bank again, and I would suggest others think twice too"
mary,5,Easy to use,"Easy to use,  transparent"
Mr Phillips,5,Easy to open account online,Easy to open account online and even easier to choose new account.Good fixed rates.
dianagwinear,5,Easy to use for a not very techy person…,Easy to use for a not very techy person Very helpful person on the telephone when I needed assistance Am still a little nervous of having my account only on my phone in case my phone gets lost or stolen but I am sure you would help me to find it againMany thanks Atom
PETER TALBOT,5,Easy Savings Transfer,"Ease of contact, by App, Phone and email. The App in particular is high quality and state of the art, fast and informative. Customer Service is both knowledgeable and efficient. I look forward to a very good experience."
Pauline,5,"Super easy to set up account, with best rates avail .",Super easy to set up account and had regular notifications about the savings account . I found they had the best rates of any online bank .
Janice,5,Easy to apply,"I found the whole process of application was easy, smooth and pleasant. The account was opened in a very short time and I was sent reminders to top money up within 7 days the account was opened."
Brian Miller,5,Atom offered best rates with simple online App.,The Atom process was simpler and quicker than other banks.The Atom App was simple and easy to use.The App worked well and registered new balances quickly.Atom offered one of the best fixed deal interest rates.
Anthony M,5,It was simple to open an account,It was simple to open an account but you have to realise that when taking the selfie you have to press the button at the bottom of the screen!!The rates are competative.
Tom,5,Very impressed so far,The App is really good. Everything really simple to set up. Very impressed. I moved my savings to Atom from a more well known bank because their online banking experience was terrible. Top marks Atom bank.
Parkicar,5,Good rates and very easy to navigate…,Good rates and very easy to navigate new account via the app
Mr Stewart Almond,5,"Atom, not had any problems",Atom keeps you up to date with information regarding your account in a friendly manner.
Customer,5,Easy to navigate online,"Easy to navigate online, happy with the interest offered & excellent customer service"
John O'donohoe,5,ATOM BANK SAVINGS ACCOUNT,Everything was really simple to navigate through.
Peter,5,Easy web app,Easy web appAtom need to offer isa account
Sue Phillips,5,Very easy and quick to set up account,Very easy and quick to set up account. Literally minutes. Santander took two days.
Simon La Frenais,5,Straightforward,The process was straightforward. The app easy to navigate. And a great interest rate.
Susan Carr,5,Opening new account,Very easy app to use. Whole process was very easy. Shame they don't do ISAs though.
DMC,5,"Simple, efficient banking",Good interest rate. Simple to set up (stand somewhere very bright for face ID) and easy to use app once logged in. Helpline call answered quickly when i needed to ask a question and very helpful agent (UK call centre?). All good so far.
DG,5,Atom fixed saver account,"Saw the review on the money experts website. Got the App, opened an account and then used the week to transfer the money. Nice and easy and hassle free and a great interest rate…"
Stephen Frisby,5,Excellent app based banking,"Excellent, easy to use app. Some great deals available. The promise of great support offer's reassurance."
Malcolm Cox,5,Simple and easy to open the account,Simple and easy to open the account. Excellent access to monitor the account. Good rate of interest.
Gary LEUNG,3,There is only one account can be linked…,There is only one account can be linked for funding my account is somewhat inconvenient.
Martin Clark,5,Great app & competitive interest rates,"Great app, competitive savings interest rates. Happy to recommend"
Stv,5,A great bank to use.Easy to understand…,A great bank to use.Easy to understand app and very competitive rates
Sarah Yates,5,Excellent,Very simple to use the banking app.  No nonsense- straight forward information given
Catherine Bissmire,5,Would recommend banking with Atom,The process was quite easy and appropriate security was also easy to set up. The interest rate was competitive.
Lee Halford,5,Great experience all round,"Overall has been a very simple process, and great savings rates too"
norma evans,5,Easy to open,I found it very easy to openHad some help from Staff who were very good
Ian,5,I was a little sceptical.,I was a little sceptical of setting up a savings platform just using my phone but it was easy and I am impressed with the security.
Steven Murray,5,Highly recommended,Great rates combined with an easy to use app. Very easy to transfer money to the account. Overall a very good experience.
Bruce,5,The app is one of the best around,The app is one of the best around. Savers can change their interest preferences with a wide range of options
J Parker,5,Easy to use app.,"Easy to use app, great interest savings rates and regular updates provided regarding interest payments, changes etc"
Carmen,5,User friendly,Really simple to set up a savings account via the app. User friendly interface.
GILLY COOPER,5,Easy to open account online,Easy to open account onlineGood rate of interestGiven a week to add to total amount invested
MR KEVIN JARVIS,5,It was very easy to open the Atom fixed…,It was very easy to open the Atom fixed 2 year saver and the interest is excellent and paid monthly
sandra wilson,5,Easy to open and great rates,Easy to open and great rates some site want your life story
Karen Brown,5,Everything was dealt with quick and…,Everything was dealt with quick and efficiently.
roger burton,5,Atom review,Slick and hi tech security not to mention a good interest rate. Easy to enrol.
Jl,5,Excellent rate on bond,Excellent rate on bond. Easy to give instructions for renewal before end of previous bond.
Allen  Williamson,5,I find the service at Atom quick,"I find the service at Atom quick, responsive and information is accessible."
Ann Brown,5,Atom online savings account,"Opened my account very easily, and everything works exactly as it should."
Joanna R,5,so easy and great App,"So easy to open an account, easy step by step process and didn't take more than about 10 minutes"
Jane,5,The system is very clear and…,The system is very clear and straightforward. Instructions are easy to follow.
Bettywoo,5,Absolutely brilliant,Absolutely brilliant.  Very easy website to follow.  Would highly recommend without any hesitation.
Anthony,5,Quick and easy,"Quick and easy to set up on line. Easy to keep up with the investment, my second 1 year fixed savings."
Kristine,5,I love Atom no issues have used them…,I love Atom no issues have used them for a long time now and never had any issues at all! 🥳
Patrick,5,Very good savings interest rates,App easy to use good savings interest ratesVery pleased with service
clare dunmore,5,Very easy to use internet service and…,Very easy to use internet service and app.Helpful customer service when I have called.Excellent communication prior to maturity of fixed term accounts.
Declan Molloy,5,I’ve been with Atom for 4 years now and…,I’ve been with Atom for 4 years now and can’t fault them in any way.
steven lee,5,Excellent,"Excellent, easy to set up"
M Power,5,Easy to use,"Easy to use,  Good  Security and great  Interest"
Customer,5,Good interest rates,Good interest rates. Good communication. Easy access via app. I would recommend.
customer LynneBowness,5,Was easy to get the app had help fro…,Was easy to get the app had help fro atm to pick an account to put money in
Mr Man,5,Very easy to use and the attractive…,Very easy to use and the attractive exchange rate for buying foreign currencies.
Mr Constable,5,Competitive savings rates and good customer service,Good rates on offer and easy to open up 3 FRB accounts. Found the staff helpful when I had to phone with a query.
Scott Chegg,5,Don't think... Do!,"Easy, no nonsense setup. Secure login. Great interest rates."
George Mclean,5,Painless and stress free process,"Painless and stress free process.  Decent rate of interest, too!"
Ian,5,Good interest rate and easy process!,Really easy to use app - simple application process!
Jonathan Foster,5,Best Bank,Great customer service; slick app
Julie,5,Quick and simple to open,Very easy to open accounts and set up … good interest rates
Will,5,Great rates,"Great rates , simple to use app. Account money transfers instantly."
Paul,5,Simple and straight forward process of…,Simple and straight forward process of opening an account
Kristie,5,Easy to Good bank.setup,"Easy to setup, create account. Good deposit %. Pay in easy and hope can trust them."
DL,5,Easy Atom,"Easy to set the account up, easy to deposit and the interest rate is good....does what says on tin! Happy"
Graham,4,Fair Pricing,A good range of fairly priced products.
Denise Robins,5,Very easy to set up the savings…,Very easy to set up the savings account. Simple access via App. No hassle at all.
Customer,5,Straight forward.,Straight forward app. Quick responses. Smooth transfers.
Ali Richards,5,Great account,
Amanda,5,Easy & secure,"Simple to use, clear messaging and it feels very secure too."
Eric,5,Atom Bank is so easy to deal with,"Atom Bank is so easy to deal with. They give good savings rates, and an app to keep you up to date."
Jon Raw,5,Best rates,"Best rates, instant transfers. Good all round service"
MB,5,Good experience,I’m used to the app.  For me it is very clear and also good on the eye.
Customer,5,Very straightforward to set up,
J Marshall,5,downloaded the app,"downloaded the app, straight forward. opened the account - simple!"
Nick Salter,5,Easy to use App and good interest rates,
Adrian Kenington,5,Very easy to open a new account,"Very easy to open a new account, with a good interest rate."
User,5,As easy as it gets,Easy to set up. User-friendly app. Good communication.
Bill Essex,5,Great savings account…,Really easy to open the savings account & offering a very competitive interest rate
shan babey,5,Great App & bank,"Great App. easy to use and great interest rates, been with Atom since 2021. No problems at all."
Kevin zamit,5,Fast savings  easy and clear safe way of opening…,Fast easy and clear safe way of opening bank account Thanks
Noreen Rhodes,5,I was able to open an account without…,I was able to open an account without any problems. Very easy to do
Janet dickinson,5,Quick and simple to arrange and use,
DR,5,Easy to open my account,Easy to open my account love the ap to keep track of my money
Dominic Shaw,5,User friendly app,User friendly app.  Good rates
Adrian H,5,Simple process to open and add funds.,Simple process to open and add funds.Top interest rate
Dave Wolfe,5,Great bank,"Great bank, efficient and professional..used many times, highly recommended"
June Jacques,5,Smooth transaction,So easy to open the account. Excellent communication and competitive interest rates
Josephine Hughes,5,easy to join efficient company,
matthew huseyin,4,very good bank to use,very good bank to use easy process and access works
David William,5,Good  interest,Just  the job thank you
gabriele spagnulo,5,Easy to use and very good interest…,Easy to use and very good interest rate. I’ll say maybe the best one
Jimmy Burke,5,Very easy to understand and do,
Linda,5,Good service,Good service. Great rates.Easy to open an account.
Jason Fearn,5,Best  interest rate i could and the app…,Best  interest rate i could and the app is good.
Amanda Clements,5,A fantastically straightforward app!,
Ben Church,5,Very quick and easy!,
roger turner,5,"Easy to use web site,made to feel secure",
Rachel Gray,5,Took about 5 mins  to open.,Took about 5 mins to open.. so easy no fuss!! Love the app! Fab rates too!!
Rosemarie Jones,5,Very easy to set up,"Very easy to set up , even for a ludite like me"
Karen Sendall,5,Straight forward,Very easy to open an account.
John Howard,5,Atom app excellent,Atom app excellent. Very competitive savings rate.
Mrs. Maureen Hogg,5,Good reviews Good experience Really…,Good reviews Good experience Really straightforward information Great rate
G Lewis,5,great communcation,
David,5,Easy to set up new account,
Mrs Dawn Cowell,5,Very easy to open,
work place,5,its user friendly,
cswallace,5,Very quick and easy to use,Very quick and easy to use. First class.
Elaine Smith,5,Easy to set up,
Mr Daren Gedge,5,So easy to use app,
DS,4,Easy to set up,
Ian Clarke,5,Very easy to open,
Peter Watson,4,Easy to use app.,
Anne,5,Easy to set up,
Melanie Carpenter,5,Easy to use,"Easy to use , very helpful"
Kim Sumner,5,Easy and simple to do.,Easy and simple to do.Good rate of interest. Product features matched what I wanted.
Adele,5,Simples,It was very simple to open my account and there was great communication from Atim. The App is easy to use - very satisfied.
martin,5,Very quick and easy opening process,
Steve Brooking,5,So far so good,So far so good.  Very easy to set up.  Only problem was with my original bank being reluctant to see me transfer money out.  I had to endure a long phone call to make them aware it wasn’t a scam.
Darren,5,Best 2 year fixed rate savings account,"Best 2 year fixed rate savings account, took about 25 mins to setup account on App. :-)"
Derek,5,Very easy app,Very easy app. Very informative. Good interest
Craig Stoddart,5,Why wouldn’t you,Simple way of getting a great interest on money earning diddly squat in your bank account.  Very simple to do so do it !
Maureen,5,Why I joined Atom,Atom makes it easy for new customers to join their banking service. The interest rates are very good compared to other banks and I was made very welcome.
Customer,5,Easy to set up with great interest…,Easy to set up with great interest rates!
customer,5,Starting out with Atom,Quick and straightforward to register and set up an account
Andrea Davison,5,Really easy to set up,"Really easy to set up, instructions were very clear and helpful and excellent interest rates."
David Stone,4,Rate status,I am comfortable with the duration & rates available David
No,5,Very secure & good protective advice,
Mr S B,5,So far so good.,"So far so good.Great app easy to navigate,  good communication."
Beverley,5,Savings Account,Excellent company Great customer service Straight foward quick and easy 😊
silverwolf,5,fast and easy,quick and easy to open an account
Owen McDermott,5,Straightforward to set up with…,Straightforward to set up with reassuring number of security features (voice recognition etc)
Mrs Erica Watson,5,I am very pleased with Atom,I am very pleased with Atom - Customer Service is excellent especially Charlotte who ran me through every step re getting a new password. I would recommend
TREVOR THORNLEY,5,Easy - money,Accounts information detailed and straightforward .setting up simple .
Caroline Walker,5,Highly Recommend,I was cautious at first about opening a fixed rate bond with Atom but I checked out Moneysaving Expert site who recommended them for the best rate at the time. It was very easy to do . I now highly recommend them . Excellent app too so I can view my savings easily .
Anne McNellis,5,Excellent bank to use,Excellent bank to use.  App is simple and communication is very good.
user1244172,5,Easy opening of account,It was straight forward to open an account offering competitive rates.
MATT,5,Excellent Service,Having been messed about by other companies Atom was so simple. Account set up securely inside 15 minutes. Very happy!!
Anne Marie,5,It was really easy to open the account…,It was really easy to open the account and the app is very easy to use.
Dorothy Edridge Codd,5,Very easy to open an account,
Mr ATACK,5,Read the reviews first,Read the reviews first. Best rate available.Simple process to get set up.
Bill Crowe,4,Easy to navigate,"Easy to navigate, had issues doing the transfer, however think it was my High Street bank that was the issue 😀"
"R, Dixon",5,Competitive interest rates on Easy…,"Competitive interest rates on Easy Access account, easy to open and the funds appear immediately when transferred."
Kevin,5,Very easy to set up a savings account…,Very easy to set up a savings account with Atom. Just input your bank details that you would like the Atom account linked to in the Atom app and you are set to go. I've had long term saving accounts with Atom over the years but this time I've opened an instant saver that I can put funds in and out quickly.The Rate was nearly triple Halifax's instant saver (Aug 2023) although lower than taking out a fixed term but I wanted an easy access account.Atom rates are always competitive.
Georgina Cooke,5,Easy to set up an account,
Yvonne George,5,Great online bank,Atom have a really simple but secure app which makes it easy to set up an account. Their rates are also very good at the moment.
Stephen Iveson,5,Great customer service,"Great customer service, quick and precise and polite feedback."
Rachel Allen,5,Excellent banking experience!,So easy to set up. Secure and simple to use app. By far the best online banking experience I’ve had! And the interest rates are very competitive too. Win win!
Rodders,5,Easy to set up account and deposit…,Easy to set up account and deposit money.  Interest rates very competitive as well
Michael Barrett,5,Very easy to access the app and good…,Very easy to access the app and good rates of interest for investments
Karen,5,Atom is such an easy way to save your…,"Atom is such an easy way to save your money, from opening the account to transferring money. I would recommend to anyone."
Ian,5,My Atom savings Account.,I was looking for a savings Acc with a good interest rate and read about Atom in the Daily Mail and so far I’m pleased with the results.
